VISIT_DATE,CONSTRUCTION_NO,STATE_CODE,STATE_CODE_EXP,VISIT_NO,RUN_NUMBER,SHRP_ID,IRI_LEFT_WHEEL_PATH,IRI_RIGHT_WHEEL_PATH,IRI_CENTER_LANE,MRI
02-15-1991,1,6,California,06820102,5,8201,1.251000047,1.34800005,,1.299000025
03-11-1992,1,6,California,06820103,1,8201,1.340999961,1.411000013,,1.376000047
12-16-1989,1,6,California,06264701,4,2647,0.865999997,0.899999976,,0.883000016
02-15-1991,1,6,California,06820102,3,8201,1.299000025,1.404000044,,1.350999951
04-06-1993,1,6,California,06125308,4,1253,1.59800005,1.907999992,,1.753000021
06-10-1994,1,6,California,06125310,5,1253,1.682000041,2.00999999,,1.845999956
02-15-1992,1,6,California,06815102,4,8151,3.969000101,1.036999941,,2.503000021
02-15-1991,1,6,California,06820102,2,8201,1.241999984,1.371999979,,1.307000041
03-18-1993,1,6,California,06820104,7,8201,1.371000051,1.434000015,,1.40199995
04-06-1993,1,6,California,06125308,2,1253,1.603000045,1.95599997,,1.779000044
12-06-1989,1,6,California,06125301,3,1253,1.625,1.84800005,,1.735999942
11-05-1999,1,6,California,06820108,1,8201,1.537999988,1.677000046,,1.606999993
